f1_macro	precision_macro	recall_macro	epochs	batch_size	validation_split	filters	kernel_size	conv_activation	conv_l2_regularizer	dropout_rate	dense_activation	dense_l2_regularizer	activation	optimizer	loss_function	units	trainable	dense_layers
0.9356482505	0.9534151364	0.9220498579	75	64	0	128	5	tanh	0.001	0.5	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	1
0.9346256199	0.9460559102	0.9272389537	75	64	0	256	5	tanh	0.001	0.5	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	1
0.9344188621	0.9501748852	0.9218096074	75	64	0	256	5	relu	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	2
0.9340588096	0.9422576303	0.927991749	75	64	0	256	5	tanh	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9338101554	0.9554773447	0.9161801793	75	64	0	256	5	relu	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	32	False	2
0.9322691247	0.9502293188	0.918897719	75	64	0	128	5	relu	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	2
0.9318444369	0.9478545342	0.919293399	75	64	0	256	5	tanh	0.001	0.2	relu	0.01	sigmoid	nadam	binary_crossentropy	64	False	1
0.9317820485	0.9400947016	0.9263264368	75	64	0	128	5	relu	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	3
0.9316307013	0.9514780913	0.9159051228	75	64	0	256	5	tanh	0.001	0.5	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9315672123	0.9405465711	0.9275246381	75	64	0	128	5	tanh	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	2
0.9311035911	0.9535115415	0.9146665654	75	64	0	256	5	relu	0.001	0.5	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	2
0.9310077528	0.9476137109	0.9172421523	75	64	0	256	5	tanh	0.001	0.5	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9303238115	0.9375149239	0.9255498718	75	64	0	128	5	tanh	0.001	0.2	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9301371875	0.9450131526	0.918230218	75	64	0	128	5	relu	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	32	False	2
0.9300864665	0.9481701047	0.9171284609	75	64	0	256	5	relu	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	2
0.9300636271	0.9498668949	0.9165271933	75	64	0	128	5	relu	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	32	False	1
0.9298870452	0.9518721236	0.9129655394	75	64	0	128	5	tanh	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	64	False	2
0.9295907306	0.9438155462	0.9210296693	75	64	0	256	5	relu	0.001	0.5	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9295406254	0.9516966556	0.9125256704	75	64	0	256	5	relu	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	64	False	2
0.9292868357	0.9347602886	0.9258341648	75	64	0	256	5	tanh	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	1
0.929175963	0.948907367	0.9150992753	75	64	0	128	5	tanh	0.001	0.5	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	2
0.928954618	0.9529444062	0.9108805552	75	64	0	128	5	relu	0.001	0.2	relu	0.01	sigmoid	nadam	binary_crossentropy	64	False	2
0.9288317669	0.9514847991	0.9135824292	75	64	0	256	5	relu	0.001	0.5	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9285984671	0.9451054625	0.9177216546	75	64	0	128	5	relu	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	32	False	3
0.9285599557	0.9548060823	0.9094942749	75	64	0	256	5	tanh	0.001	0.5	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	2
0.9279202481	0.9464181963	0.916409018	75	64	0	128	5	relu	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9278746654	0.946319563	0.914229502	75	64	0	128	5	tanh	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	2
0.9278638681	0.9352208472	0.9235953524	75	64	0	128	5	relu	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	32	False	1
0.9278242476	0.9422988988	0.9200503727	75	64	0	256	5	relu	0.001	0.2	relu	0.01	sigmoid	nadam	binary_crossentropy	64	False	1
0.9277727377	0.9512939677	0.9104453759	75	64	0	128	5	relu	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9277511671	0.9465448185	0.9152179849	75	64	0	128	5	relu	0.001	0.5	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	2
0.9276049259	0.9424846501	0.916820281	75	64	0	128	5	tanh	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	2
0.9274714783	0.9487372846	0.9132716146	75	64	0	128	5	relu	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9273401409	0.9475803833	0.9124675108	75	64	0	256	5	relu	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	2
0.9273159492	0.9534091323	0.9082650933	75	64	0	128	5	tanh	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9272281678	0.9446510176	0.9126359031	75	64	0	128	5	tanh	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9271906259	0.9418833727	0.9165996054	75	64	0	256	5	tanh	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	32	False	1
0.9270078018	0.9503218196	0.9102719365	75	64	0	256	5	tanh	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	64	False	1
0.9270058909	0.9438843872	0.9144844009	75	64	0	256	5	relu	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	32	False	1
0.9269762752	0.9506545738	0.909911693	75	64	0	128	5	relu	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	1
0.9269734751	0.9487410679	0.9102586285	75	64	0	256	5	relu	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	1
0.9265986508	0.9480609125	0.9100284437	75	64	0	128	5	tanh	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	1
0.9265361244	0.9412615393	0.9170634081	75	64	0	256	5	relu	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9264146799	0.9444406701	0.9154084249	75	64	0	128	5	relu	0.001	0.2	relu	0.01	sigmoid	nadam	binary_crossentropy	32	False	1
0.9263111473	0.9476880742	0.9126289523	75	64	0	128	5	relu	0.001	0.5	tanh	0.01	sigmoid	nadam	binary_crossentropy	32	False	1
0.9261571904	0.9461745087	0.9103099221	75	64	0	256	5	tanh	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	2
0.9260960628	0.9413027386	0.9163354991	75	64	0	128	5	relu	0.001	0.5	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	1
0.9259814761	0.9392451151	0.9162865141	75	64	0	128	5	tanh	0.001	0.2	relu	0.01	sigmoid	nadam	binary_crossentropy	32	False	1
0.9259708403	0.9452291675	0.9125196529	75	64	0	256	5	relu	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	2
0.9259631228	0.9465162601	0.9132705489	75	64	0	256	5	relu	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9259014589	0.947239298	0.9115853701	75	64	0	128	5	relu	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	2
0.925838009	0.9435833484	0.9123213237	75	64	0	128	5	tanh	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	2
0.9255463255	0.9440557832	0.9117959204	75	64	0	256	5	tanh	0.001	0.2	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.925528355	0.9426767523	0.9145953951	75	64	0	256	5	relu	0.001	0.2	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	2
0.9250866796	0.950772612	0.9068693369	75	64	0	256	5	tanh	0.001	0.2	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	2
0.9249197562	0.9498313872	0.9069080279	75	64	0	256	5	relu	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	32	False	1
0.9247607643	0.9538796371	0.9042072063	75	64	0	256	5	relu	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	32	False	3
0.9247382588	0.9412926319	0.9120885357	75	64	0	128	5	tanh	0.001	0.2	relu	0.01	sigmoid	nadam	binary_crossentropy	64	False	1
0.9246022958	0.951711893	0.9045323332	75	64	0	128	5	relu	0.001	0.5	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9244577904	0.9487824424	0.9078922937	75	64	0	128	5	tanh	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	32	False	3
0.9243490108	0.9468832578	0.9090454086	75	64	0	128	5	tanh	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	1
0.9243161762	0.9467437928	0.9070519509	75	64	0	128	5	tanh	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	3
0.9242033478	0.9512569474	0.9041187821	75	64	0	128	5	relu	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	32	False	2
0.9241434676	0.9539774125	0.9024670998	75	64	0	128	5	relu	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	2
0.9240837861	0.9446228525	0.910880007	75	64	0	256	5	tanh	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	2
0.924073784	0.9479572853	0.9073418904	75	64	0	256	5	relu	0.001	0.5	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	2
0.9239326829	0.9419790265	0.912142592	75	64	0	128	5	relu	0.001	0.5	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	2
0.9237519427	0.9501218451	0.9026099353	75	64	0	128	5	tanh	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	32	False	2
0.9237398333	0.951119865	0.9039809524	75	64	0	128	5	tanh	0.001	0.5	relu	0.01	sigmoid	nadam	binary_crossentropy	64	False	1
0.9237069284	0.9460047712	0.9092546283	75	64	0	128	5	relu	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	32	False	1
0.923476684	0.9439679384	0.9089599254	75	64	0	128	5	tanh	0.001	0.5	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9232835082	0.9493394042	0.9054028104	75	64	0	128	5	relu	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	2
0.9231622475	0.9493696747	0.9040326588	75	64	0	128	5	relu	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	32	False	2
0.9231512554	0.9500845765	0.9017719186	75	64	0	128	5	tanh	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	32	False	3
0.9229972468	0.9479983395	0.9081319973	75	64	0	256	5	relu	0.001	0.2	relu	0.01	sigmoid	nadam	binary_crossentropy	64	False	3
0.922835825	0.9443260106	0.9062332794	75	64	0	256	5	relu	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	32	False	2
0.9226500081	0.9431701043	0.9064091215	75	64	0	256	5	tanh	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	2
0.9225826424	0.947414365	0.906802269	75	64	0	128	5	tanh	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	3
0.922382438	0.9604575056	0.8922360931	75	64	0	128	5	tanh	0.001	0.5	tanh	0.01	sigmoid	nadam	binary_crossentropy	32	False	1
0.9219665726	0.9523888872	0.8991684421	75	64	0	256	5	relu	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	32	False	1
0.9219637457	0.9394467369	0.9116194873	75	64	0	256	5	tanh	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	64	False	2
0.9218403375	0.9415669044	0.9104665903	75	64	0	256	5	tanh	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	1
0.9217786332	0.9486057189	0.9017686678	75	64	0	256	5	relu	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	64	False	1
0.9217561246	0.9483198005	0.9029631608	75	64	0	128	5	relu	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	32	False	3
0.9213000519	0.9421417058	0.9068283115	75	64	0	128	5	relu	0.001	0.2	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	2
0.9212976289	0.9495796245	0.9001588119	75	64	0	128	5	relu	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	3
0.921114926	0.9444157723	0.9051352793	75	64	0	128	5	relu	0.001	0.2	relu	0.01	sigmoid	nadam	binary_crossentropy	32	False	2
0.9205573802	0.9471250778	0.9022958539	75	64	0	256	5	relu	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	3
0.9204339855	0.9510419638	0.8985190942	75	64	0	256	5	relu	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	32	False	3
0.920377597	0.9427304838	0.9051300597	75	64	0	256	5	relu	0.001	0.2	relu	0.01	sigmoid	nadam	binary_crossentropy	32	False	1
0.9202350734	0.9449542629	0.9044913127	75	64	0	256	5	tanh	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	2
0.9199261129	0.9503127614	0.8963886023	75	64	0	256	5	tanh	0.001	0.5	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	2
0.9196851196	0.9540734578	0.9000424233	75	64	0	256	5	relu	0.001	0.2	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9196495477	0.945904098	0.9017317484	75	64	0	256	5	tanh	0.001	0.5	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	2
0.9195102446	0.9384018582	0.9072977717	75	64	0	128	5	tanh	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	32	False	2
0.919136956	0.9395664211	0.9083667011	75	64	0	256	5	relu	0.001	0.2	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	3
0.9190372522	0.9428291075	0.9037236866	75	64	0	128	5	relu	0.001	0.5	relu	0.01	sigmoid	nadam	binary_crossentropy	64	False	1
0.9189648813	0.9510140084	0.8952186235	75	64	0	128	5	tanh	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	2
0.9188742093	0.949217454	0.9010545392	75	64	0	256	5	tanh	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9187966387	0.9491741351	0.8969998322	75	64	0	128	5	tanh	0.001	0	relu	0.01	sigmoid	nadam	binary_crossentropy	32	False	1
0.9187515042	0.952406508	0.8945136541	75	64	0	128	5	relu	0.001	0.5	relu	0.01	sigmoid	nadam	binary_crossentropy	128	False	1
0.9187282126	0.9470486187	0.9014276232	75	64	0	256	5	tanh	0.001	0	tanh	0.01	sigmoid	nadam	binary_crossentropy	128	False	2
0.9181453926	0.9500651375	0.8951981016	75	64	0	128	5	relu	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	3
0.9166759493	0.9425496639	0.9010493243	75	64	0	256	5	relu	0.001	0.2	tanh	0.01	sigmoid	nadam	binary_crossentropy	64	False	3
