f1_macro;precision_macro;recall_macro;epochs;batch_size;validation_split;filters;kernel_size;conv_activation;conv_l2_regularizer;dropout_rate;dense_activation;dense_l2_regularizer;activation;optimizer;loss_function;units;trainable;dense_layers
0.9432941364;0.9401631333;0.9484086281;75;64;0;320;5;relu;0.001;0.2;tanh;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.9429020981;0.9504088492;0.9388077262;75;64;0;320;5;relu;0.001;0.6;relu;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
0.9426306579;0.940780076;0.9464980272;75;64;0;320;5;relu;0.001;0.2;relu;0.001;sigmoid;nadam;binary_crossentropy;256;False;1
0.9419397777;0.9322947601;0.9534331407;75;64;0;320;5;tanh;0.001;0;relu;0;sigmoid;nadam;binary_crossentropy;64;False;1
0.9418722534;0.9420686176;0.944627227;50;64;0;320;5;relu;0.001;0;relu;0.001;sigmoid;nadam;binary_crossentropy;256;False;1
0.9417143384;0.9385921117;0.9475398702;75;64;0;320;5;tanh;0.001;0;relu;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.9413803481;0.9414198036;0.9433342767;50;64;0;320;5;tanh;0.001;0;tanh;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.9413100854;0.9412436602;0.9433842772;75;64;0;320;5;tanh;0.001;0.6;relu;0.001;sigmoid;nadam;binary_crossentropy;64;False;1
0.9411410165;0.9332581947;0.9521756546;50;64;0;320;5;tanh;0.001;0.8;relu;0.001;sigmoid;nadam;binary_crossentropy;256;False;1
0.9410607758;0.9294889247;0.9547499054;75;64;0;320;5;tanh;0;0.8;relu;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
0.9409397868;0.9350276017;0.9493852063;75;64;0;320;5;relu;0.001;0.6;tanh;0.01;sigmoid;nadam;binary_crossentropy;64;False;2
0.940766012;0.9383584089;0.9463369414;75;64;0;320;5;relu;0.001;0;relu;0.001;sigmoid;nadam;binary_crossentropy;256;False;1
0.9407159786;0.9477385953;0.9372705425;50;64;0;320;5;relu;0.001;0;tanh;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
0.9406675858;0.9318112392;0.9514641909;75;64;0;320;5;relu;0.001;0.2;relu;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.9405056107;0.9303146006;0.9525862002;75;64;0;320;5;tanh;0.001;0.2;tanh;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.9401736913;0.9420362045;0.939856554;75;64;0;320;5;tanh;0.01;0;tanh;0;sigmoid;nadam;binary_crossentropy;256;False;1
0.9400441159;0.9365947015;0.9473648881;75;64;0;320;5;tanh;0.001;0.2;tanh;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
0.939858044;0.9476536655;0.9349394758;50;64;0;320;5;relu;0.001;0;tanh;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.9398114586;0.9414769356;0.9411949427;75;64;0;320;5;tanh;0.001;0.6;relu;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.9397369413;0.9278173948;0.9560758491;75;64;0;320;5;relu;0.001;0;tanh;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.939659716;0.9297910626;0.9526292561;75;64;0;320;5;tanh;0;0.2;tanh;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
0.9395990163;0.9344254023;0.9468840273;75;64;0;320;5;relu;0.001;0.8;tanh;0;sigmoid;nadam;binary_crossentropy;256;False;1
0.9395484671;0.9435691104;0.9390073204;75;64;0;320;5;tanh;0.001;0.6;relu;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
0.9395390228;0.9409104379;0.9415680153;75;64;0;320;5;relu;0.001;0;tanh;0.01;sigmoid;nadam;binary_crossentropy;64;False;2
0.939514049;0.9373915725;0.9441755517;75;64;0;320;5;tanh;0;0.2;relu;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.9393487112;0.9380792606;0.9424036093;75;64;0;320;5;tanh;0.001;0.8;relu;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.9393454615;0.9393028943;0.942294159;75;64;0;320;5;tanh;0;0.2;relu;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
0.9393061368;0.92897568;0.9524468826;75;64;0;320;5;relu;0.001;0.8;tanh;0.001;sigmoid;nadam;binary_crossentropy;256;False;1
0.9392883027;0.9277666671;0.9548732095;75;64;0;320;5;relu;0.01;0;relu;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.9392526585;0.9408099879;0.9421064027;50;64;0;320;5;tanh;0.001;0;relu;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.9392213024;0.9384639116;0.9417697647;50;64;0;320;5;relu;0.01;0;relu;0.001;sigmoid;nadam;binary_crossentropy;256;False;1
0.93914541;0.9355439078;0.9446751113;75;64;0;320;5;tanh;0;0.6;relu;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.9391201348;0.9273162654;0.9529052836;75;64;0;320;5;tanh;0;0;relu;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
0.9391190666;0.9358959837;0.9442058166;75;64;0;320;5;tanh;0;0.2;relu;0.001;sigmoid;nadam;binary_crossentropy;256;False;1
0.9390416211;0.924117209;0.956442282;50;64;0;320;5;tanh;0.001;0.2;tanh;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
0.9389618655;0.9422237614;0.9376471565;50;64;0;320;5;tanh;0;0.8;relu;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
0.9388978189;0.9422920652;0.9383575198;75;64;0;320;5;relu;0;0.8;relu;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
0.9388835902;0.9409520995;0.9396167773;75;64;0;320;5;tanh;0;0.6;relu;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
0.9388473833;0.9356857444;0.9450573409;75;64;0;320;5;tanh;0.001;0;relu;0.01;sigmoid;nadam;binary_crossentropy;64;False;1
0.9388211199;0.9370839003;0.9418518305;75;64;0;320;5;relu;0.001;0.6;relu;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.9388095233;0.9233216631;0.956794513;75;64;0;320;5;tanh;0.001;0.2;relu;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.9388037891;0.9452743476;0.935006914;50;64;0;320;5;tanh;0;0.6;tanh;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
0.9387899373;0.941443348;0.9392737019;50;64;0;320;5;relu;0.001;0.2;tanh;0.001;sigmoid;nadam;binary_crossentropy;64;False;1
0.9387430964;0.9405202841;0.9388636863;50;64;0;320;5;tanh;0;0.8;relu;0.01;sigmoid;nadam;binary_crossentropy;256;False;1
