f1_macro,precision_macro,recall_macro,epochs,batch_size,validation_split,dropout_rate,dense_activation,dense_l2_regularizer,activation,optimizer,loss_function,gru_units,units,trainable,dense_layers
0.7992003482,0.7959097316,0.8043697922,75,64,0,0.5,relu,0.01,softmax,nadam,categorical_crossentropy,64,64,False,1
0.798532423,0.7932246572,0.8058134305,75,64,0,0.5,relu,0.01,softmax,nadam,categorical_crossentropy,64,256,False,1
0.797908843,0.7956744294,0.8041483449,75,64,0,0.5,relu,0.01,softmax,nadam,categorical_crossentropy,64,256,False,2
0.7958383175,0.7992434311,0.7938582306,75,64,0,0.5,relu,0.01,softmax,nadam,categorical_crossentropy,256,64,False,1
0.7947861585,0.7876630004,0.8070021745,75,64,0,0.8,relu,0.01,softmax,nadam,categorical_crossentropy,256,256,False,1
0.7924942088,0.8061413455,0.7841260722,75,64,0,0.2,relu,0.01,softmax,nadam,categorical_crossentropy,64,64,False,2
0.7918781073,0.8058541078,0.7820268646,75,64,0,0.5,relu,0.01,softmax,nadam,categorical_crossentropy,256,256,False,1
0.7901097611,0.8063134648,0.7780251602,75,64,0,0.5,relu,0.01,softmax,nadam,categorical_crossentropy,256,256,False,2
0.7884211077,0.7901858997,0.7910794602,75,64,0,0.2,relu,0.01,softmax,nadam,categorical_crossentropy,64,64,False,1
0.7832192899,0.7911205713,0.7796882417,75,64,0,0,relu,0.01,softmax,nadam,categorical_crossentropy,64,256,False,1
0.7826816592,0.7736955855,0.7958756814,75,64,0,0.2,relu,0.01,softmax,nadam,categorical_crossentropy,64,256,False,2
0.78198088,0.7992863653,0.768956093,75,64,0,0,relu,0.01,softmax,nadam,categorical_crossentropy,64,64,False,1
0.7816359629,0.8011014683,0.7684464808,75,64,0,0,relu,0.01,softmax,nadam,categorical_crossentropy,256,64,False,1
0.7797302258,0.7841116409,0.7780550525,75,64,0,0,relu,0.01,softmax,nadam,categorical_crossentropy,64,256,False,2
0.7784959496,0.7904255391,0.7706710168,75,64,0,0.2,relu,0.01,softmax,nadam,categorical_crossentropy,256,64,False,2
