f1_macro	precision_macro	recall_macro	algorithm	max_iterations	c1	c2	included_features
0.998082133	0.9964014131	0.9997872024	lbfgs	None	1	1	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	1	1	['rnn_proba', 'cluster', 'pos']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	1	1	['rnn_proba', 'word', 'pos']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	1	1	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	1	0.1	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	1	0.1	['rnn_proba', 'cluster', 'pos']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	1	0.1	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.1	1	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.1	1	['rnn_proba', 'word', 'pos']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.1	1	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.1	0.1	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.1	0.1	['rnn_proba', 'word', 'pos']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.1	0.1	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.1	0.01	['rnn_proba', 'word', 'pos']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	1	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	0.1	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	0.1	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	0.01	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	0.01	['rnn_proba', 'word', 'pos']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	0.01	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	0.001	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	0.001	['rnn_proba', 'word', 'pos']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.01	0.001	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.001	1	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.001	0.1	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.001	0.1	['rnn_proba', 'word', 'pos', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.001	0.01	['rnn_proba', 'word', 'cluster']
0.998082133	0.9964014131	0.9997872024	lbfgs	None	0.001	0.001	['rnn_proba', 'word', 'cluster']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	1	0.1	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	1	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0.1	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0.01	['rnn_proba', 'word', 'cluster']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0.01	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0.01	['rnn_proba', 'word', 'pos', 'cluster']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0.001	['rnn_proba', 'word', 'cluster']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0.001	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0.001	['rnn_proba', 'word', 'pos', 'cluster']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0	['rnn_proba', 'word', 'cluster']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.1	0	['rnn_proba', 'word', 'pos', 'cluster']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.01	1	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.01	1	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.01	0.1	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.01	0.1	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.01	0.01	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	1	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	1	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	0.1	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	0.1	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	0.01	['rnn_proba', 'cluster', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	0.01	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	0.01	['rnn_proba', 'word', 'pos', 'cluster']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	0.001	['rnn_proba', 'word', 'pos']
0.9979386321	0.9963712856	0.9995298022	lbfgs	None	0.001	0.001	['rnn_proba', 'word', 'pos', 'cluster']
0.9977975987	0.9970005148	0.9986115992	lbfgs	None	0.1	0	['rnn_proba', 'cluster', 'pos']
0.9977975987	0.9970005148	0.9986115992	lbfgs	None	0.01	0	['rnn_proba', 'cluster', 'pos']
0.9977975987	0.9970005148	0.9986115992	lbfgs	None	0.001	0	['rnn_proba', 'cluster', 'pos']
0.9976151184	0.996159518	0.999092758	lbfgs	None	0.01	1	['rnn_proba', 'word', 'cluster']
0.9976151184	0.996159518	0.999092758	lbfgs	None	0.001	1	['rnn_proba', 'word', 'cluster']
0.9975683507	0.9961372851	0.9990209189	lbfgs	None	1	0.01	['rnn_proba', 'word', 'cluster']
0.9975683507	0.9961372851	0.9990209189	lbfgs	None	1	0.01	['rnn_proba', 'word', 'pos', 'cluster']
0.9975683507	0.9961372851	0.9990209189	lbfgs	None	1	0.001	['rnn_proba', 'word', 'cluster']
0.9975683507	0.9961372851	0.9990209189	lbfgs	None	1	0.001	['rnn_proba', 'cluster', 'pos']
0.9975683507	0.9961372851	0.9990209189	lbfgs	None	1	0.001	['rnn_proba', 'word', 'pos', 'cluster']
0.9975658458	0.9963387335	0.9988205823	lbfgs	None	0.01	0	['rnn_proba', 'word', 'cluster']
0.9975658458	0.9963387335	0.9988205823	lbfgs	None	0.01	0	['rnn_proba', 'word', 'pos']
0.9975658458	0.9963387335	0.9988205823	lbfgs	None	0.01	0	['rnn_proba', 'word', 'pos', 'cluster']
0.9975658458	0.9963387335	0.9988205823	lbfgs	None	0.001	0	['rnn_proba', 'word', 'cluster']
0.9975658458	0.9963387335	0.9988205823	lbfgs	None	0.001	0	['rnn_proba', 'word', 'pos']
0.9975658458	0.9963387335	0.9988205823	lbfgs	None	0.001	0	['rnn_proba', 'word', 'pos', 'cluster']
0.9974316526	0.9969594803	0.9979171547	lbfgs	None	0.01	0.001	['rnn_proba', 'cluster', 'pos']
0.9974303132	0.9963062132	0.9985824871	lbfgs	None	0.1	0.001	['rnn_proba', 'cluster', 'pos']
0.9974248497	0.9961071576	0.9987635186	lbfgs	None	1	0.01	['rnn_proba', 'cluster', 'pos']
0.9974248497	0.9961071576	0.9987635186	lbfgs	None	1	0.01	['rnn_proba', 'word', 'pos']
0.9974248497	0.9961071576	0.9987635186	lbfgs	None	1	0.001	['rnn_proba', 'word', 'pos']
0.9974248497	0.9961071576	0.9987635186	lbfgs	None	1	0	['rnn_proba', 'word', 'cluster']
0.9974248497	0.9961071576	0.9987635186	lbfgs	None	1	0	['rnn_proba', 'cluster', 'pos']
0.9974248497	0.9961071576	0.9987635186	lbfgs	None	1	0	['rnn_proba', 'word', 'pos']
0.9974248497	0.9961071576	0.9987635186	lbfgs	None	1	0	['rnn_proba', 'word', 'pos', 'cluster']
0.9972030939	0.9962891002	0.9981409133	lbfgs	None	0.001	0.001	['rnn_proba', 'cluster', 'pos']
0.7937943375	0.8239923432	0.7719308663	lbfgs	None	0.1	0.001	['word', 'pos']
0.7923308702	0.8283381347	0.7665971084	lbfgs	None	0.1	0.01	['word', 'pos']
0.7922651085	0.8482874597	0.7520228888	lbfgs	None	0.01	1	['word', 'pos', 'cluster']
0.7918465067	0.8379148271	0.7598658476	lbfgs	None	0.01	0.1	['word', 'pos']
0.7918279082	0.8479322892	0.7514716694	lbfgs	None	0.001	1	['word', 'pos', 'cluster']
