f1_macro,precision_macro,recall_macro,epochs,batch_size,validation_split,filters,kernel_size,conv_activation,conv_l2_regularizer,dropout_rate,dense_activation,dense_l2_regularizer,activation,optimizer,loss_function,units,trainable,dense_layers
0.9240030657,0.9352257731,0.9163006363,50,64,0,320,5,relu,0.01,0,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,1
0.918300217,0.9243271746,0.9139910154,75,64,0,320,5,relu,0.001,0.6,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,1
0.9166145332,0.9240458019,0.9124715607,75,64,0,320,5,relu,0.001,0.2,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,1
0.9162472826,0.9206805532,0.912972681,75,64,0,320,5,relu,0,0.6,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,2
0.9159122499,0.9236395789,0.9116676318,50,64,0,320,5,relu,0.01,0,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,1
0.9158819675,0.9265038838,0.9087786484,50,64,0,320,5,relu,0.001,0.6,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,2
0.9157464531,0.9197380038,0.9134948033,50,64,0,320,5,relu,0.001,0.6,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,2
0.9153538458,0.9244927167,0.9090951468,75,64,0,320,5,relu,0.001,0.2,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,1
0.9150062162,0.9171247263,0.9156467277,75,64,0,320,5,relu,0.01,0.2,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,2
0.914459593,0.9268300078,0.9059709885,50,64,0,320,5,relu,0.001,0.6,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,1
0.9139605666,0.9187817044,0.9107014833,75,64,0,320,5,relu,0.01,0,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,1
0.9136188721,0.9165296084,0.9120868895,75,64,0,320,5,relu,0.01,0,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,1
0.9136076266,0.9210733116,0.9099659301,50,64,0,320,5,relu,0.001,0,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,2
0.9135285251,0.9167015177,0.9123291376,50,64,0,320,5,relu,0.001,0,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,1
0.913328018,0.9213543791,0.9090909301,50,64,0,320,5,relu,0.001,0.2,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,2
0.9123320308,0.9220007578,0.9060833543,50,64,0,320,5,relu,0.01,0,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,2
0.9113237541,0.919910267,0.9053656025,50,64,0,320,5,relu,0,0.2,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,2
0.9104993899,0.9184178519,0.9050317707,50,64,0,320,5,relu,0.01,0,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,1
0.9103939942,0.9166571522,0.9082756785,50,64,0,320,5,relu,0.001,0,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,2
0.9103811073,0.9145540409,0.9080868895,50,64,0,320,5,relu,0.01,0,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,2
0.9100924247,0.9127362939,0.9079745238,75,64,0,320,5,relu,0.1,0,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,1
0.9100414803,0.9173548653,0.90546061,75,64,0,320,5,relu,0.001,0,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,2
0.9089646873,0.9117256969,0.9090179398,75,64,0,320,5,relu,0,0.2,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,2
0.9082435488,0.9159321254,0.9038686134,75,64,0,320,5,relu,0.01,0,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,1
0.9081724011,0.9109863386,0.9079068982,75,64,0,320,5,relu,0.001,0,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,1
0.9080958057,0.9105267757,0.9085856349,50,64,0,320,5,relu,0.001,0.2,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,2
0.9080924378,0.9233247764,0.8984236912,50,64,0,320,5,relu,0.001,0,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,1
0.9078356382,0.9182723184,0.9043415181,75,64,0,320,5,relu,0.01,0.2,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,1
0.9078078775,0.9102113821,0.9069618895,50,64,0,320,5,relu,0.001,0.6,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,1
0.9077962933,0.9179806602,0.9031824023,75,64,0,320,5,relu,0.01,0.2,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,1
0.9075381649,0.9231721113,0.8978782367,75,64,0,320,5,relu,0.01,0,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,2
0.9073783772,0.9114879283,0.9055837672,50,64,0,320,5,relu,0,0.2,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,1
0.9072956651,0.9104398726,0.9057356506,75,64,0,320,5,relu,0.001,0.6,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,2
0.9070669719,0.9102706956,0.9051191377,50,64,0,320,5,relu,0,0.6,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,1
0.9070043142,0.9137009865,0.90202082,75,64,0,320,5,relu,0,0.2,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,1
0.9067327465,0.9059992487,0.9082584776,50,64,0,320,5,relu,0.1,0,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,1
0.9066026503,0.9130941615,0.9026536415,50,64,0,320,5,relu,0,0,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,2
0.9065797564,0.9092693636,0.90545981,50,64,0,320,5,relu,0.001,0.2,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,1
0.9065674228,0.9158890983,0.9010383127,75,64,0,320,5,relu,0,0,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,2
0.9063025025,0.9176320445,0.8992546506,75,64,0,320,5,relu,0,0.6,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,1
0.9057013176,0.9197163776,0.8982192026,75,64,0,320,5,relu,0.001,0.6,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,1
0.9054639146,0.9062976559,0.9068819312,50,64,0,320,5,relu,0.1,0.2,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,1
0.9050137094,0.9085121632,0.9029895693,50,64,0,320,5,relu,0,0,tanh,0.1,sigmoid,nadam,binary_crossentropy,128,False,2
0.9044996516,0.9082067383,0.9041064786,75,64,0,320,5,relu,0.001,0,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,1
0.9041962998,0.9136636445,0.8982406932,50,64,0,320,5,relu,0.01,0.6,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,2
0.9041938741,0.911409145,0.9004488175,75,64,0,320,5,relu,0,0,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,1
0.9040141146,0.9110238346,0.9004997683,75,64,0,320,5,relu,0.01,0,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,1
0.9035372434,0.9097241574,0.9004699074,50,64,0,320,5,relu,0.01,0.6,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,2
0.9034435841,0.9135908251,0.897334609,75,64,0,320,5,relu,0.001,0.2,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,1
0.9032380042,0.9128118099,0.8972574944,50,64,0,320,5,relu,0.01,0,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,2
