mean_test_f1_macro	mean_test_precision_macro	mean_test_recall_macro	param_activation	param_batch_size	param_epochs	param_conv_activation	param_conv_l2_regularizer	param_dense_activation	param_dense_l2_regularizer	param_dropout_rate	param_filters	param_kernel_size	param_loss_function	param_optimizer	param_units
0.8322195095535064	0.8878300841537199	0.8157281508945694	sigmoid	64	25	relu	0.01	relu	0.01	0.6	320	5	binary_crossentropy	nadam	256
0.808936838085048	0.874904700692529	0.7924889238251961	sigmoid	64	25	relu	0.01	relu	0.01	0.6	320	5	binary_crossentropy	nadam	64
0.8028440106702759	0.8947529799953101	0.7685419348468037	sigmoid	64	25	relu	0.01	relu	0.01	0.6	320	5	binary_crossentropy	nadam	16
0.7046550413124504	0.7224581317545609	0.7161700506957505	sigmoid	64	25	relu	0.01	relu	0.01	0.6	320	3	binary_crossentropy	nadam	256
0.7984025486542627	0.8821099590445006	0.7609005399912739	sigmoid	64	25	relu	0.01	relu	0.01	0.6	320	3	binary_crossentropy	nadam	64
0.8010358714791931	0.8717378694589626	0.7668240764460236	sigmoid	64	25	relu	0.01	relu	0.01	0.6	320	3	binary_crossentropy	nadam	16
0.8407095603671617	0.8843619819834634	0.8158012233727578	sigmoid	64	25	relu	0.01	relu	0.01	0.6	64	5	binary_crossentropy	nadam	256
0.798502836607514	0.8855253829282875	0.7654838211877653	sigmoid	64	25	relu	0.01	relu	0.01	0.6	64	5	binary_crossentropy	nadam	64
0.8149828430320906	0.9181142884479786	0.7632168561476124	sigmoid	64	25	relu	0.01	relu	0.01	0.6	64	5	binary_crossentropy	nadam	16
0.7952882892693864	0.9040916092720301	0.7509068743570905	sigmoid	64	25	relu	0.01	relu	0.01	0.6	64	3	binary_crossentropy	nadam	256
0.7705151517852634	0.8816646405728217	0.727298110853983	sigmoid	64	25	relu	0.01	relu	0.01	0.6	64	3	binary_crossentropy	nadam	64
0.7975236592611642	0.881500291319078	0.7558053456133471	sigmoid	64	25	relu	0.01	relu	0.01	0.6	64	3	binary_crossentropy	nadam	16
0.7510822974883132	0.8573846143457698	0.7487765629944236	sigmoid	64	50	relu	0.01	relu	0.01	0.6	320	5	binary_crossentropy	nadam	256
0.8034695054759277	0.8741346781356302	0.7797669153392225	sigmoid	64	50	relu	0.01	relu	0.01	0.6	320	5	binary_crossentropy	nadam	64
0.7482056623995947	0.8739620748767701	0.7178657268636104	sigmoid	64	50	relu	0.01	relu	0.01	0.6	320	5	binary_crossentropy	nadam	16
0.7933291260707783	0.8607772334352525	0.7638979499614552	sigmoid	64	50	relu	0.01	relu	0.01	0.6	320	3	binary_crossentropy	nadam	256
0.7777326623437438	0.834141032455026	0.7441512671522091	sigmoid	64	50	relu	0.01	relu	0.01	0.6	320	3	binary_crossentropy	nadam	64
0.7759762965142258	0.8527420659021427	0.7370153414627457	sigmoid	64	50	relu	0.01	relu	0.01	0.6	320	3	binary_crossentropy	nadam	16
