f1_macro,precision_macro,recall_macro,epochs,batch_size,validation_split,filters,kernel_size,conv_activation,conv_l2_regularizer,dropout_rate,dense_activation,dense_l2_regularizer,activation,optimizer,loss_function,units,trainable,dense_layers
0.9285144731,0.9428480726,0.9309657196,50,64,0,320,5,relu,0,0.6,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,2
0.9268376663,0.9536652661,0.9140203774,75,64,0,320,5,relu,0.001,0.6,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,1
0.9264957963,0.9509611845,0.9139471173,75,64,0,320,5,relu,0.01,0.6,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,1
0.926220287,0.9546180575,0.9148872882,75,64,0,320,5,relu,0,0.6,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,1
0.9221557818,0.9437596287,0.9129092663,75,64,0,320,5,relu,0,0.6,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,2
0.9218767171,0.9345867182,0.9225092088,50,64,0,320,5,relu,0.1,0.6,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,2
0.9203838123,0.9538566111,0.9040203774,50,64,0,320,5,relu,0,0.2,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,1
0.9188867595,0.9548009028,0.9048872882,50,64,0,320,5,relu,0,0.6,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,2
0.9181470112,0.9514379513,0.8997346631,75,64,0,320,5,relu,0,0.6,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,2
0.9171929738,0.9236652097,0.9144011887,75,64,0,320,5,relu,0.001,0.6,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,2
0.9171548683,0.9542063316,0.9017126851,75,64,0,320,5,relu,0,0.2,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,2
0.9136600138,0.9431031097,0.9020595931,75,64,0,320,5,relu,0.001,0.2,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,2
0.9136600138,0.9431031097,0.9020595931,75,64,0,320,5,relu,0,0,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,2
0.9135259706,0.9507046836,0.8929092663,75,64,0,320,5,relu,0,0,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,2
0.9135259706,0.9507046836,0.8929092663,75,64,0,320,5,relu,0,0.6,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,1
0.9131548683,0.9542063316,0.8940203774,50,64,0,320,5,relu,0,0,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,1
0.9122790685,0.9502075925,0.888623552,50,64,0,320,5,relu,0,0.6,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,1
0.9120795995,0.952078672,0.8940203774,75,64,0,320,5,relu,0,0.2,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,1
0.9107923513,0.9381017655,0.8933294343,75,64,0,320,5,relu,0.01,0.2,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,2
0.9106407664,0.9495902891,0.8897346631,75,64,0,320,5,relu,0.001,0.2,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,2
0.9093266805,0.9431031097,0.8943672854,50,64,0,320,5,relu,0,0,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,2
0.909150135,0.9507064929,0.8852169586,50,64,0,320,5,relu,0,0.2,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,2
0.908250567,0.93925548,0.904299053,75,64,0,320,5,relu,0.001,0.6,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,2
0.9081646926,0.9489810027,0.8852169586,75,64,0,320,5,relu,0,0,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,1
0.9081402465,0.9486656765,0.8852169586,50,64,0,320,5,relu,0,0.2,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,1
0.9074157468,0.9361417152,0.8909766751,50,64,0,320,5,relu,0.01,0.2,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,1
0.9070180927,0.9317042817,0.8935176122,75,64,0,320,5,relu,0.1,0.2,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,2
0.9068885415,0.9471919537,0.8839471173,75,64,0,320,5,relu,0.01,0.6,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,1
0.9052389057,0.9487634793,0.8829092663,50,64,0,320,5,relu,0.01,0.6,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,2
0.9052217578,0.9489267446,0.8829092663,75,64,0,320,5,relu,0,0,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,1
0.9052217578,0.9489267446,0.8829092663,75,64,0,320,5,relu,0,0,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,2
0.9050233096,0.9203450226,0.9101569323,50,64,0,320,5,relu,0.1,0.6,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,1
0.9049407319,0.9317004662,0.904731431,75,64,0,320,5,relu,0.001,0.2,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,1
0.9045260925,0.9465703919,0.8831412565,50,64,0,320,5,relu,0,0,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,2
0.9041373137,0.9376101125,0.8877738788,50,64,0,320,5,relu,0.001,0.2,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,1
0.9038124783,0.9472793353,0.8795881429,50,64,0,320,5,relu,0.01,0,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,1
0.9037829247,0.9464383617,0.878623552,75,64,0,320,5,relu,0.01,0.2,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,2
0.9029401778,0.9452594201,0.8777249183,75,64,0,320,5,relu,0.1,0.6,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,1
0.9027715922,0.9477063316,0.8794904629,75,64,0,320,5,relu,0,0.2,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,2
0.9026853865,0.9486784538,0.8818103652,50,64,0,320,5,relu,0.001,0.6,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,2
0.9023365537,0.9478123501,0.8797346631,50,64,0,320,5,relu,0,0.2,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,1
0.9022432486,0.9382128031,0.8811981203,50,64,0,320,5,relu,0.001,0.6,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,2
0.902103054,0.9368334428,0.8822970214,75,64,0,320,5,relu,0.1,0.2,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,1
0.9005539808,0.9467880822,0.8763158597,50,64,0,320,5,relu,0,0.6,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,1
0.8998360337,0.9468877375,0.8752169586,50,64,0,320,5,relu,0,0.2,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,2
0.8983972006,0.9443993546,0.8709312443,75,64,0,320,5,relu,0.001,0.2,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,1
0.8976963234,0.945578672,0.8717981552,75,64,0,320,5,relu,0,0.2,tanh,0.001,sigmoid,nadam,binary_crossentropy,128,False,1
0.8976963234,0.945578672,0.8717981552,75,64,0,320,5,relu,0,0.6,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,2
0.8973872159,0.9414512295,0.878635762,50,64,0,320,5,relu,0,0,tanh,0,sigmoid,nadam,binary_crossentropy,128,False,1
0.8966512619,0.9365381383,0.8763641689,50,64,0,320,5,relu,0.01,0.2,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,2
0.896430549,0.9465457922,0.868623552,75,64,0,320,5,relu,0,0.2,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,1
0.895478712,0.9446604227,0.868623552,50,64,0,320,5,relu,0,0.6,tanh,0.01,sigmoid,nadam,binary_crossentropy,128,False,2
