mean_test_f1_macro,mean_test_precision_macro,mean_test_recall_macro,param_activation,param_batch_size,param_epochs,param_conv_activation,param_conv_l2_regularizer,param_dense_activation,param_dense_l2_regularizer,param_dropout_rate,param_filters,param_kernel_size,param_loss_function,param_optimizer,param_units
0.9278874519,0.9338586837,0.9238548438,sigmoid,64,25,tanh,0.001,relu,0.01,0.6,64,3,binary_crossentropy,nadam,16
0.9251586966,0.9293249347,0.9216361437,sigmoid,64,25,relu,0.001,relu,0.01,0.6,64,5,binary_crossentropy,nadam,64
0.9250856009,0.9292301257,0.9218783917,sigmoid,64,25,relu,0.001,relu,0.01,0.6,320,3,binary_crossentropy,nadam,16
0.922166538,0.9273448368,0.9182148474,sigmoid,64,25,tanh,0.01,tanh,0.01,0.6,64,5,binary_crossentropy,nadam,64
0.921664173,0.9244932646,0.9196526353,sigmoid,64,25,relu,0.001,tanh,0.01,0.6,320,5,binary_crossentropy,nadam,256
0.9201971126,0.9233905653,0.9199907575,sigmoid,64,50,tanh,0.01,relu,0.01,0.6,320,5,binary_crossentropy,nadam,16
0.9198719419,0.9236346856,0.9169732649,sigmoid,64,50,relu,0.01,relu,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.9195574381,0.9258136318,0.9149212314,sigmoid,64,25,tanh,0.01,tanh,0.01,0.6,320,5,binary_crossentropy,nadam,256
0.9194143958,0.9230703874,0.9165111437,sigmoid,64,25,tanh,0.01,relu,0.001,0.6,64,3,binary_crossentropy,nadam,16
0.9192135257,0.9227952874,0.9168367251,sigmoid,64,25,relu,0.01,relu,0.01,0.6,64,3,binary_crossentropy,nadam,16
0.9191870964,0.9218914751,0.9173697216,sigmoid,64,25,tanh,0.01,tanh,0.001,0.6,320,5,binary_crossentropy,nadam,16
0.9191673327,0.9223947447,0.9168665993,sigmoid,64,25,relu,0.01,tanh,0.001,0.6,320,3,binary_crossentropy,nadam,16
0.9190968659,0.9231974838,0.9156361437,sigmoid,64,25,tanh,0.001,relu,0.01,0.6,320,5,binary_crossentropy,nadam,256
0.9190784677,0.9249907428,0.9147533917,sigmoid,64,50,tanh,0.001,tanh,0.001,0.6,64,5,binary_crossentropy,nadam,64
0.9188857643,0.925380943,0.9141815982,sigmoid,64,50,relu,0.01,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,16
0.9185887998,0.9216666905,0.9161881402,sigmoid,64,25,relu,0.001,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.918394411,0.9250999472,0.9147335947,sigmoid,64,25,tanh,0.01,relu,0.01,0.6,64,5,binary_crossentropy,nadam,64
0.9169696472,0.917047211,0.9177028023,sigmoid,64,25,relu,0.001,tanh,0.001,0.6,64,5,binary_crossentropy,nadam,256
0.9169045656,0.9171110265,0.9179450503,sigmoid,64,50,relu,0.01,relu,0.01,0.6,64,5,binary_crossentropy,nadam,64
0.9168389181,0.915883663,0.9184378875,sigmoid,64,25,tanh,0.01,relu,0.001,0.6,64,5,binary_crossentropy,nadam,256
0.9167517588,0.9176462893,0.9167341838,sigmoid,64,50,relu,0.001,tanh,0.01,0.6,64,5,binary_crossentropy,nadam,16
0.9167517588,0.9176462893,0.9167341838,sigmoid,64,50,tanh,0.001,tanh,0.01,0.6,64,5,binary_crossentropy,nadam,64
0.9165598431,0.9204380966,0.9142870538,sigmoid,64,25,tanh,0.001,tanh,0.01,0.6,64,5,binary_crossentropy,nadam,16
0.9164249112,0.9216457486,0.9124278103,sigmoid,64,25,relu,0.01,tanh,0.01,0.6,320,5,binary_crossentropy,nadam,16
0.9162514426,0.91941317,0.9136361437,sigmoid,64,25,tanh,0.01,tanh,0.001,0.6,320,3,binary_crossentropy,nadam,64
0.9161491294,0.9236705112,0.9110889807,sigmoid,64,25,tanh,0.01,tanh,0.001,0.6,64,5,binary_crossentropy,nadam,16
0.916023575,0.9185726641,0.9137493512,sigmoid,64,25,relu,0.01,relu,0.01,0.6,64,5,binary_crossentropy,nadam,256
0.915921729,0.922977763,0.9105111437,sigmoid,64,25,tanh,0.01,tanh,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.9157779542,0.9227130647,0.9104591102,sigmoid,64,25,tanh,0.01,relu,0.001,0.6,320,3,binary_crossentropy,nadam,64
0.9157438226,0.9194561291,0.9130631402,sigmoid,64,25,relu,0.001,relu,0.01,0.6,64,3,binary_crossentropy,nadam,64
0.9156876615,0.9171102699,0.9144941377,sigmoid,64,25,relu,0.01,tanh,0.001,0.6,64,3,binary_crossentropy,nadam,16
0.9156854848,0.9206957261,0.9117493512,sigmoid,64,25,relu,0.01,relu,0.01,0.6,64,3,binary_crossentropy,nadam,256
0.9156013611,0.9253532551,0.9090829372,sigmoid,64,25,tanh,0.001,relu,0.001,0.6,320,5,binary_crossentropy,nadam,64
0.915351035,0.919691123,0.9121881402,sigmoid,64,25,relu,0.001,relu,0.01,0.6,64,3,binary_crossentropy,nadam,16
0.9145072655,0.918566102,0.9115678595,sigmoid,64,25,tanh,0.001,tanh,0.01,0.6,64,5,binary_crossentropy,nadam,256
0.9144911938,0.9186887881,0.9146268844,sigmoid,64,25,relu,0.01,relu,0.01,0.6,320,5,binary_crossentropy,nadam,16
0.9144458563,0.9126520628,0.9179749246,sigmoid,64,25,tanh,0.01,tanh,0.01,0.6,320,5,binary_crossentropy,nadam,16
0.9142233935,0.9143218444,0.915861717,sigmoid,64,25,relu,0.01,relu,0.01,0.6,320,5,binary_crossentropy,nadam,64
0.9139796237,0.9153945596,0.9134993512,sigmoid,64,50,relu,0.01,relu,0.01,0.6,320,3,binary_crossentropy,nadam,64
0.9139393501,0.914966546,0.9136219773,sigmoid,64,25,relu,0.01,relu,0.001,0.6,64,3,binary_crossentropy,nadam,64
0.9138253865,0.9161427113,0.9124278103,sigmoid,64,25,tanh,0.001,tanh,0.001,0.6,320,3,binary_crossentropy,nadam,64
0.9136148225,0.9146622622,0.9129172726,sigmoid,64,50,tanh,0.01,relu,0.01,0.6,64,5,binary_crossentropy,nadam,64
0.9136143469,0.9132623452,0.9168901286,sigmoid,64,25,relu,0.001,tanh,0.01,0.6,320,3,binary_crossentropy,nadam,256
0.9136100656,0.9200892371,0.908683441,sigmoid,64,25,relu,0.001,relu,0.01,0.6,64,5,binary_crossentropy,nadam,16
0.9135343203,0.9137506586,0.9146344284,sigmoid,64,25,relu,0.001,relu,0.01,0.6,64,5,binary_crossentropy,nadam,256
0.9135343203,0.9137506586,0.9146344284,sigmoid,64,25,tanh,0.01,relu,0.001,0.6,64,5,binary_crossentropy,nadam,64
0.9134925045,0.9179203114,0.91119968,sigmoid,64,25,tanh,0.01,relu,0.01,0.6,64,5,binary_crossentropy,nadam,16
0.9134611553,0.9151275084,0.9136418439,sigmoid,64,50,relu,0.01,relu,0.01,0.6,64,3,binary_crossentropy,nadam,256
